"order_id","order_date","status","fulfilment","sales_channel","ship_service_level","style","sku","category","size","asin","courier_status","quantity","currency","amount","ship_city","ship_state","ship_postal_code","ship_country","b2b"
"408-1820281-8921134","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3751","JNE3751-KR-XXXL","kurta","3XL","B09KXQ1919","Shipped",1,"INR",368,"CUNCOLIM","GOA","403703.0","IN",FALSE
"171-7725665-3681924","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3697","JNE3697-KR-L","kurta","L","B09811Y7WM","Shipped",1,"INR",458,"BENGALURU","KARNATAKA","560102.0","IN",FALSE
"408-3999667-2330707","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0236","J0236-SKD-XL","Set","XL","B08ZYPQ3XV","Shipped",1,"INR",0,"Bulandshahr","UTTAR PRADESH","203411.0","IN",FALSE
"404-9453702-2078766","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET392","SET392-KR-NP-XXXL","Set","3XL","B09RKDXXC4","Shipped",1,"INR",751,"MUMBAI","MAHARASHTRA","400022.0","IN",FALSE
"404-0369450-2838705","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET198","SET198-KR-NP-A-M","Set","M","B08L934H7V","Shipped",1,"INR",548,"PUNE","MAHARASHTRA","411060.0","IN",FALSE
"406-2600595-2145931","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET356","SET356-KR-NP-XL","Set","XL","B09QJ362XS","Shipped",1,"INR",1099,"TINSUKIA","ASSAM","786126.0","IN",FALSE
"408-2145947-6270723","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3568","JNE3568-KR-XXL","kurta","XXL","B08KRYXSYH","Shipped",1,"INR",0,"CHANDIGAR","CHANDIGARH","160022.0","IN",FALSE
"404-8510689-9513922","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3781","JNE3781-KR-XL","kurta","XL","B09K3XXDMR","Shipped",1,"INR",406,"MANNARKAD","KERALA","678597.0","IN",FALSE
"405-4980707-0466702","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","J0008","J0008-SKD-XXL","Set","XXL","B0894WT71H","Shipped",1,"INR",1065,"MUMBAI","MAHARASHTRA","400013.0","IN",FALSE
"408-3701713-2221158","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET288","SET288-KR-NP-XXL","Set","XXL","B09M6TQTGV","Shipped",1,"INR",684,"Vrindavan, mathura","UTTAR PRADESH","281121.0","IN",FALSE
